User Id 	UBA id	GCA id
U_65999	UBA952	GCA_002293185.1
U_66004	UBA956	GCA_002293145.1
U_66005	UBA957	GCA_002293065.1
U_66013	UBA965	GCA_002292925.1
U_66014	UBA966	GCA_002292895.1
U_66023	UBA8141	None
U_66024	UBA8142	None
U_66025	UBA972	GCA_002292855.1
U_66028	UBA8143	GCA_003483155.1
U_66030	UBA976	GCA_002292365.1
U_66034	UBA979	GCA_002292325.1
U_66037	UBA981	GCA_002292285.1
U_66041	UBA984	GCA_002292205.1
U_66042	UBA985	GCA_002292185.1
U_66045	UBA8146	GCA_003483225.1
U_66047	UBA988	GCA_002292085.1
U_66049	UBA8149	GCA_003483265.1
U_66052	UBA991	GCA_002292065.1
U_66053	UBA992	GCA_002292005.1
U_66056	UBA993	GCA_002292015.1
U_66069	UBA1002	GCA_002291845.1
U_66074	UBA8159	None
U_66075	UBA8160	None
U_66083	UBA1008	GCA_002291725.1
U_66084	UBA8163	None
U_66090	UBA8166	GCA_003507035.1
U_66093	UBA8168	GCA_003489025.1
U_66095	UBA1012	GCA_002291665.1
U_66103	UBA1016	GCA_002291565.1
U_66116	UBA8182	None
U_66120	UBA1022	GCA_002304695.1
U_66133	UBA1030	GCA_002316925.1
U_66136	UBA1033	GCA_002316875.1
U_66144	UBA1040	GCA_002316735.1
U_66146	UBA1041	GCA_002316705.1
U_66148	UBA1043	GCA_002316685.1
U_66161	UBA8191	None
U_66169	UBA1055	GCA_002316405.1
U_66174	UBA1059	GCA_002316345.1
U_66179	UBA8196	GCA_003526765.1
U_66181	UBA47	GCA_002496495.1
U_66183	UBA1064	GCA_002316235.1
U_66184	UBA1065	GCA_002316225.1
U_66187	UBA8199	GCA_003527065.1
U_66189	UBA8201	None
U_66192	UBA8204	None
U_66194	UBA1068	GCA_002316175.1
U_66201	UBA1073	GCA_002316075.1
U_66208	UBA1080	GCA_002314175.1
U_66212	UBA1084	GCA_002313745.1
U_66219	UBA1089	GCA_002314215.1
U_66223	UBA1091	GCA_002314135.1
U_66224	UBA1092	GCA_002313655.1
U_66227	UBA1095	GCA_002313635.1
U_66229	UBA1096	GCA_002313595.1
U_66231	UBA8209	None
U_66232	UBA1097	GCA_002313585.1
U_66234	UBA1099	GCA_002313575.1
U_66239	UBA8211	None
U_66242	UBA1103	GCA_002313515.1
U_66244	UBA1105	GCA_002313475.1
U_66246	UBA1107	GCA_002314015.1
U_66247	UBA1108	GCA_002313985.1
U_66248	UBA1109	GCA_002313975.1
U_66253	UBA8215	GCA_003538815.1
U_66254	UBA8216	None
U_66263	UBA1114	GCA_002313955.1
U_66265	UBA8222	None
U_66268	UBA8224	None
U_66281	UBA1123	GCA_002313895.1
U_66283	UBA8231	GCA_003529325.1
U_66289	UBA1128	GCA_002311605.1
U_66291	UBA8234	GCA_003524555.1
U_66292	UBA1129	GCA_002311575.1
U_66294	UBA1130	GCA_002311535.1
U_66295	UBA1131	GCA_002311515.1
U_66296	UBA1132	GCA_002311545.1
U_66299	UBA1135	GCA_002311925.1
U_66302	UBA1136	GCA_002311455.1
U_66303	UBA8237	None
U_66304	UBA56	GCA_002504755.1
U_66305	UBA8238	GCA_003524515.1
U_66307	UBA8240	GCA_003533805.1
U_66312	UBA1138	GCA_002311435.1
U_66319	UBA58	GCA_002498525.1
U_66331	UBA60	GCA_002503395.1
U_66339	UBA1156	GCA_002311195.1
U_66341	UBA1158	GCA_002311145.1
U_66345	UBA8251	None
U_66369	UBA1167	GCA_002311725.1
U_66370	UBA8267	None
U_66372	UBA1168	GCA_002311755.1
U_66377	UBA1171	GCA_002311715.1
U_66378	UBA8271	GCA_003534295.1
U_66383	UBA8276	GCA_003534475.1
U_66384	UBA8277	GCA_003534315.1
U_66385	UBA8278	GCA_003534355.1
U_66386	UBA8279	GCA_003534875.1
U_66391	UBA8284	GCA_003487045.1
U_66397	UBA8290	GCA_003497445.1
U_66415	UBA8297	None
U_66420	UBA1187	GCA_002309835.1
U_66421	UBA1188	GCA_002310135.1
U_66424	UBA1191	GCA_002310095.1
U_66425	UBA1192	GCA_002310175.1
U_66427	UBA1194	GCA_002309755.1
U_66431	UBA1198	GCA_002309735.1
U_66433	UBA1200	GCA_002309765.1
U_66435	UBA1202	GCA_002309715.1
U_66436	UBA1203	GCA_002309695.1
U_66438	UBA1205	GCA_002309615.1
U_66445	UBA1211	GCA_002309585.1
U_66451	UBA1216	GCA_002309255.1
U_66454	UBA1219	GCA_002309295.1
U_66459	UBA1224	GCA_002309235.1
U_66466	UBA1230	GCA_002309395.1
U_66471	UBA1234	GCA_002308995.1
U_66481	UBA1244	GCA_002308635.1
U_66487	UBA1250	GCA_002308295.1
U_66490	UBA1253	GCA_002308815.1
U_66492	UBA8302	None
U_66496	UBA1258	GCA_002308235.1
U_66505	UBA1265	GCA_002308475.1
U_66509	UBA8307	None
U_66510	UBA1267	GCA_002308115.1
U_66511	UBA8308	None
U_66512	UBA1268	GCA_002308055.1
U_66515	UBA1270	GCA_002308855.1
U_66520	UBA8314	GCA_003520265.1
U_66526	UBA8319	None
U_66531	UBA8322	GCA_003523845.1
U_66541	UBA1278	GCA_002308435.1
U_66543	UBA8327	GCA_003523765.1
U_66549	UBA8331	GCA_003505895.1
U_66554	UBA1282	GCA_002308075.1
U_66558	UBA8337	GCA_003535055.1
U_66566	UBA1286	GCA_002307985.1
U_66574	UBA1294	GCA_002307845.1
U_66575	UBA8343	GCA_003501265.1
U_66580	UBA1299	GCA_002307795.1
U_66582	UBA1300	GCA_002307775.1
U_66591	UBA1306	GCA_002307245.1
U_66596	UBA1310	GCA_002307175.1
U_66599	UBA1313	GCA_002307115.1
U_66602	UBA1315	GCA_002307065.1
U_66604	UBA1317	GCA_002307035.1
U_66609	UBA8350	None
U_66614	UBA8353	None
U_66618	UBA8357	GCA_003486065.1
U_66624	UBA8363	GCA_003483605.1
U_66629	UBA8365	GCA_003483585.1
U_66635	UBA1328	GCA_002306815.1
U_66645	UBA1335	GCA_002306665.1
U_66647	UBA1337	GCA_002306635.1
U_66655	UBA8372	GCA_003455475.1
U_66657	UBA8374	GCA_003455515.1
U_66659	UBA8376	GCA_003455495.1
U_66662	UBA8379	GCA_003455415.1
U_66663	UBA8380	GCA_003483385.1
U_66664	UBA1340	GCA_002306555.1
U_66668	UBA1343	GCA_002306515.1
U_66670	UBA1344	GCA_002306475.1
U_66671	UBA1345	GCA_002306465.1
U_66672	UBA1346	GCA_002306455.1
U_66673	UBA1347	GCA_002306405.1
U_66680	UBA1353	GCA_002306175.1
U_66697	UBA1367	GCA_002305995.1
U_66699	UBA1368	GCA_002305965.1
U_66700	UBA1369	GCA_002305925.1
U_66703	UBA1372	GCA_002306295.1
U_66708	UBA1377	GCA_002305495.1
U_66709	UBA1378	GCA_002305505.1
U_66710	UBA1379	GCA_002305475.1
U_66720	UBA1387	GCA_002305345.1
U_66725	UBA1389	GCA_002305335.1
U_66726	UBA1390	GCA_002305315.1
U_66734	UBA1398	GCA_002305165.1
U_66735	UBA1399	GCA_002305155.1
U_66738	UBA1401	GCA_002305115.1
U_66743	UBA1406	GCA_002305675.1
U_66746	UBA1409	GCA_002305045.1
U_66747	UBA1410	GCA_002305015.1
U_66772	UBA1432	GCA_002329445.1
U_66773	UBA1433	GCA_002329295.1
U_66777	UBA1436	GCA_002329395.1
U_66778	UBA1437	GCA_002329625.1
U_66785	UBA8387	None
U_66786	UBA1443	GCA_002329545.1
U_66787	UBA1444	GCA_002329525.1
U_66788	UBA1445	GCA_002329495.1
U_66789	UBA1446	GCA_002329245.1
U_66790	UBA8388	None
U_66798	UBA8393	GCA_003456275.1
U_66805	UBA1451	GCA_002329165.1
U_66806	UBA1452	GCA_002325895.1
U_66813	UBA1457	GCA_002325805.1
U_66814	UBA1458	GCA_002325785.1
U_66817	UBA1459	GCA_002325765.1
U_66818	UBA8403	GCA_003456065.1
U_66827	UBA8407	GCA_003456115.1
U_66829	UBA8409	GCA_003449615.1
U_66831	UBA8411	None
U_66835	UBA8413	GCA_003484045.1
U_66836	UBA8414	None
U_66838	UBA1467	GCA_002325615.1
U_66839	UBA8416	GCA_003483205.1
U_66844	UBA1469	GCA_002325565.1
U_66847	UBA8421	GCA_003447435.1
U_66850	UBA1473	GCA_002325485.1
U_66854	UBA1474	GCA_002330945.1
U_66855	UBA1475	GCA_002325465.1
U_66856	UBA1476	GCA_002325445.1
U_66857	UBA1477	GCA_002325415.1
U_66859	UBA1479	GCA_002325375.1
U_66863	UBA1483	GCA_002325295.1
U_66874	UBA8429	None
U_66875	UBA8430	GCA_003450275.1
U_66876	UBA1490	GCA_002325155.1
U_66877	UBA8431	GCA_003449375.1
U_66878	UBA1491	GCA_002325135.1
U_66880	UBA1493	GCA_002325035.1
U_66886	UBA1498	GCA_002325125.1
U_66897	UBA8437	GCA_003517085.1
U_66904	UBA1507	GCA_002323615.1
U_66923	UBA1516	GCA_002323495.1
U_66925	UBA1517	GCA_002323905.1
U_66926	UBA1518	GCA_002323895.1
U_66939	UBA1525	GCA_002323355.1
U_66951	UBA1529	GCA_002323805.1
U_66957	UBA1532	GCA_002323315.1
U_66959	UBA8461	GCA_003521865.1
U_66962	UBA8464	None
U_66964	UBA1533	GCA_002323285.1
U_66965	UBA1534	GCA_002323275.1
U_66970	UBA1538	GCA_002323725.1
U_66981	UBA1547	GCA_002323055.1
U_66984	UBA1549	GCA_002323095.1
U_67000	UBA1562	GCA_002322525.1
U_67005	UBA1566	GCA_002322435.1
U_67010	UBA8470	GCA_003538055.1
U_67012	UBA8472	None
U_67027	UBA8482	GCA_003514595.1
U_67029	UBA1575	GCA_002322865.1
U_67031	UBA1577	GCA_002322835.1
U_67035	UBA8484	GCA_003513485.1
U_67038	UBA1582	GCA_002322215.1
U_67046	UBA8492	None
U_67048	UBA8494	GCA_003516705.1
U_67049	UBA8495	GCA_003516285.1
U_67050	UBA8496	None
U_67052	UBA8498	GCA_003516475.1
U_67058	UBA8504	GCA_003537645.1
U_67065	UBA8511	GCA_003543215.1
U_67066	UBA8512	None
U_67069	UBA8515	GCA_003543255.1
U_67071	UBA8517	GCA_003484955.1
U_67074	UBA8520	None
U_67075	UBA8521	None
U_67076	UBA8522	GCA_003524335.1
U_67077	UBA8523	GCA_003524305.1
U_67078	UBA8524	GCA_003531115.1
U_67080	UBA8526	GCA_003524365.1
U_67082	UBA8528	None
U_67087	UBA8533	None
U_67090	UBA1583	GCA_002322275.1
U_67095	UBA8536	GCA_003503435.1
U_67102	UBA1593	GCA_002321995.1
U_67112	UBA1598	GCA_002322705.1
U_67113	UBA1599	GCA_002321985.1
U_67114	UBA1600	GCA_002321975.1
U_67115	UBA1601	GCA_002322695.1
U_67120	UBA8544	GCA_003454515.1
U_67131	UBA8553	GCA_003444555.1
U_67133	UBA8554	GCA_003446865.1
U_67140	UBA1610	GCA_002321865.1
U_67146	UBA1612	GCA_002321605.1
U_67153	UBA8566	GCA_003482615.1
U_67156	UBA8568	GCA_003483625.1
U_67160	UBA8571	None
U_67161	UBA1616	GCA_002321535.1
U_67164	UBA1618	GCA_002321835.1
U_67165	UBA8573	None
U_67166	UBA8574	None
U_67167	UBA100	GCA_002496245.1
U_67169	UBA8576	GCA_003455605.1
U_67172	UBA8579	GCA_003455385.1
U_67179	UBA1625	GCA_002321785.1
U_67181	UBA1627	GCA_002321345.1
U_67184	UBA1630	GCA_002321295.1
U_67199	UBA1642	GCA_002323015.1
U_67201	UBA1644	GCA_002321155.1
U_67203	UBA1645	GCA_002321105.1
U_67207	UBA1648	GCA_002321055.1
U_67212	UBA1653	GCA_002320955.1
U_67224	UBA1662	GCA_002320775.1
U_67225	UBA1663	GCA_002320745.1
U_67228	UBA8587	GCA_003501525.1
U_67231	UBA8590	GCA_003447135.1
U_67234	UBA105	GCA_002496905.1
U_67235	UBA1665	GCA_002320475.1
U_67242	UBA109	GCA_002497525.1
U_67250	UBA8595	GCA_003486145.1
U_67255	UBA1672	GCA_002320665.1
U_67261	UBA8600	None
U_67269	UBA8604	GCA_003486005.1
U_67290	UBA1699	GCA_002320525.1
U_67291	UBA8605	GCA_003486545.1
U_67292	UBA1700	GCA_002320055.1
U_67293	UBA1701	GCA_002320035.1
U_67296	UBA1704	GCA_002317395.1
U_67299	UBA1707	GCA_002317275.1
U_67304	UBA1710	GCA_002317355.1
U_67305	UBA1711	GCA_002317325.1
U_67306	UBA1712	GCA_002317175.1
U_67310	UBA1716	GCA_002317225.1
U_67322	UBA1728	GCA_002315975.1
U_67329	UBA1734	GCA_002315765.1
U_67332	UBA1737	GCA_002315915.1
U_67333	UBA8608	None
U_67340	UBA1744	GCA_002314915.1
U_67346	UBA1749	GCA_002315675.1
U_67348	UBA1751	GCA_002315995.1
U_67350	UBA1753	GCA_002317595.1
U_67351	UBA1754	GCA_002315615.1
U_67353	UBA1756	GCA_002314795.1
U_67366	UBA1769	GCA_002314725.1
U_67376	UBA1778	GCA_002315255.1
U_67377	UBA1779	GCA_002314565.1
U_67378	UBA1780	GCA_002315235.1
U_67380	UBA8611	None
U_67382	UBA1783	GCA_002315205.1
U_67387	UBA1788	GCA_002315165.1
U_67388	UBA8612	GCA_003505905.1
U_67395	UBA8617	None
U_67396	UBA8618	None
U_67399	UBA1793	GCA_002314445.1
U_67401	UBA8619	None
U_67402	UBA1795	GCA_002314435.1
U_67414	UBA8624	None
U_67416	UBA1802	GCA_002319825.1
U_67418	UBA1804	GCA_002315125.1
U_67425	UBA8628	None
U_67431	UBA8631	GCA_003485045.1
U_67433	UBA8632	GCA_003484565.1
U_67436	UBA1815	GCA_002314335.1
U_67443	UBA1821	GCA_002314235.1
U_67445	UBA1823	GCA_002314965.1
U_67448	UBA1825	GCA_002338945.1
U_67449	UBA8635	None
U_67452	UBA1828	GCA_002338885.1
U_67454	UBA8636	GCA_003484605.1
U_67456	UBA1831	GCA_002338845.1
U_67461	UBA1836	GCA_002338985.1
U_67462	UBA8637	GCA_003532095.1
U_67471	UBA1843	GCA_002338645.1
U_67472	UBA1844	GCA_002338615.1
U_67476	UBA8641	GCA_003520245.1
U_67478	UBA8642	GCA_003513585.1
U_67482	UBA8644	GCA_003519925.1
U_67484	UBA8645	GCA_003519985.1
U_67487	UBA8647	GCA_003520085.1
U_67490	UBA1853	GCA_002338485.1
U_67496	UBA8654	GCA_003516585.1
U_67498	UBA1855	GCA_002338425.1
U_67500	UBA8656	None
U_67504	UBA8657	GCA_003453875.1
U_67510	UBA8661	None
U_67513	UBA1863	GCA_002353015.1
U_67516	UBA1866	GCA_002338245.1
U_67518	UBA1867	GCA_002352995.1
U_67521	UBA1869	GCA_002338195.1
U_67522	UBA1870	GCA_002338175.1
U_67523	UBA1871	GCA_002338165.1
U_67525	UBA8665	None
U_67527	UBA8667	GCA_003521985.1
U_67528	UBA8668	GCA_003522025.1
U_67529	UBA8669	GCA_003523185.1
U_67531	UBA115	GCA_002494795.1
U_67547	UBA8676	GCA_003539315.1
U_67554	UBA1882	GCA_002338005.1
U_67558	UBA8682	GCA_003523085.1
U_67559	UBA8683	None
U_67560	UBA8684	None
U_67561	UBA8685	GCA_003523055.1
U_67570	UBA8691	None
U_67575	UBA1890	GCA_002337885.1
U_67584	UBA1894	GCA_002352835.1
U_67586	UBA1896	GCA_002337765.1
U_67594	UBA8702	GCA_003511445.1
U_67595	UBA1899	GCA_002337695.1
U_67603	UBA1906	GCA_002337635.1
U_67605	UBA1908	GCA_002337525.1
U_67607	UBA8704	None
U_67609	UBA1910	GCA_002337545.1
U_67611	UBA1911	GCA_002337505.1
U_67617	UBA1916	GCA_002337385.1
U_67620	UBA1919	GCA_002352855.1
U_67621	UBA1920	GCA_002337335.1
U_67629	UBA8713	GCA_003457395.1
U_67635	UBA1926	GCA_002337215.1
U_67642	UBA1930	GCA_002337145.1
U_67651	UBA1939	GCA_002336885.1
U_67653	UBA1941	GCA_002336805.1
U_67655	UBA1943	GCA_002336845.1
U_67659	UBA1947	GCA_002336915.1
U_67664	UBA8719	GCA_003455905.1
U_67665	UBA8720	GCA_003452275.1
U_67668	UBA8722	None
U_67672	UBA1954	GCA_002336125.1
U_67684	UBA1959	GCA_002336085.1
U_67690	UBA8732	None
U_67701	UBA124	GCA_002502215.1
U_67721	UBA127	GCA_002502125.1
U_67726	UBA1982	GCA_002336535.1
U_67730	UBA128	GCA_002496955.1
U_67738	UBA1985	GCA_002336525.1
U_67743	UBA1987	GCA_002336225.1
U_67749	UBA8753	None
U_67751	UBA1992	GCA_002336165.1
U_67752	UBA1993	GCA_002336485.1
U_67755	UBA132	GCA_002496735.1
U_67756	UBA1996	GCA_002335875.1
U_67759	UBA1999	GCA_002334965.1
U_67771	UBA2007	GCA_002335085.1
U_67772	UBA8758	GCA_003507175.1
U_67773	UBA2008	GCA_002334905.1
U_67793	UBA8769	GCA_003535275.1
U_67794	UBA8770	GCA_003487685.1
U_67804	UBA2023	GCA_002335145.1
U_67806	UBA8773	GCA_003487005.1
U_67812	UBA8777	GCA_003487645.1
U_67818	UBA8781	GCA_003516895.1
U_67819	UBA8782	None
U_67822	UBA135	GCA_002497045.1
U_67834	UBA8787	GCA_003516975.1
U_67840	UBA8790	GCA_003512825.1
U_67852	UBA2050	GCA_002332675.1
U_67856	UBA8793	GCA_003513665.1
U_67858	UBA8795	GCA_003514885.1
U_67860	UBA2055	GCA_002332935.1
U_67868	UBA2061	GCA_002332595.1
U_67871	UBA2063	GCA_002333245.1
U_67872	UBA8799	GCA_003514825.1
U_67873	UBA2064	GCA_002332525.1
U_67874	UBA2065	GCA_002332885.1
U_67883	UBA2073	GCA_002332855.1
U_67888	UBA2077	GCA_002331915.1
U_67890	UBA2079	GCA_002331905.1
U_67891	UBA2080	GCA_002331645.1
U_67896	UBA8803	GCA_003505715.1
U_67897	UBA8804	None
U_67898	UBA8805	None
U_67907	UBA2084	GCA_002331865.1
U_67908	UBA2085	GCA_002331325.1
U_67909	UBA8814	GCA_003523665.1
U_67912	UBA2088	GCA_002331305.1
U_67913	UBA8815	GCA_003523705.1
U_67920	UBA8819	None
U_67922	UBA2093	GCA_002331255.1
U_67927	UBA2095	GCA_002331235.1
U_67929	UBA8824	GCA_003486485.1
U_67930	UBA8825	GCA_003486515.1
U_67934	UBA8829	None
U_67937	UBA2098	GCA_002331545.1
U_67938	UBA8830	GCA_003501155.1
U_67944	UBA8835	None
U_67948	UBA8839	None
U_67952	UBA8843	GCA_003517435.1
U_67962	UBA8853	None
U_67964	UBA8855	GCA_003509345.1
U_67967	UBA8858	GCA_003538575.1
U_67972	UBA8863	GCA_003514585.1
U_67974	UBA8865	GCA_003513425.1
U_67977	UBA8868	None
U_67983	UBA8874	GCA_003516265.1
U_67985	UBA8876	None
U_67989	UBA2102	GCA_002331165.1
U_67994	UBA2107	GCA_002331105.1
U_67996	UBA8878	None
U_67999	UBA2111	GCA_002331065.1
U_68001	UBA2113	GCA_002331425.1
U_68003	UBA8879	GCA_003516275.1
U_68009	UBA2117	GCA_002331755.1
U_68013	UBA2121	GCA_002331385.1
U_68023	UBA2130	GCA_002329025.1
U_68024	UBA2131	GCA_002329075.1
U_68031	UBA2138	GCA_002328985.1
U_68033	UBA2139	GCA_002328385.1
U_68038	UBA8885	None
U_68039	UBA2143	GCA_002328955.1
U_68041	UBA2145	GCA_002327645.1
U_68046	UBA8888	GCA_003446165.1
U_68047	UBA8889	None
U_68052	UBA2150	GCA_002328325.1
U_68054	UBA2152	GCA_002328235.1
U_68058	UBA138	GCA_002496125.1
U_68061	UBA2158	GCA_002328185.1
U_68062	UBA2159	GCA_002327995.1
U_68064	UBA2161	GCA_002328835.1
U_68070	UBA2164	GCA_002328125.1
U_68072	UBA2165	GCA_002327565.1
U_68075	UBA2167	GCA_002328195.1
U_68076	UBA2168	GCA_002327525.1
U_68080	UBA2169	GCA_002327545.1
U_68082	UBA8895	GCA_003521425.1
U_68085	UBA2172	GCA_002327475.1
U_68086	UBA143	GCA_002499025.1
U_68087	UBA2173	GCA_002327465.1
U_68088	UBA2174	GCA_002327445.1
U_68089	UBA2175	GCA_002328145.1
U_68091	UBA2177	GCA_002328805.1
U_68094	UBA8897	None
U_68099	UBA2184	GCA_002328745.1
U_68105	UBA145	GCA_002496855.1
U_68108	UBA8899	None
U_68115	UBA8903	None
U_68126	UBA148	GCA_002495885.1
U_68127	UBA2201	GCA_002327305.1
U_68129	UBA8904	None
U_68130	UBA8905	GCA_003501825.1
U_68139	UBA2210	GCA_002327865.1
U_68141	UBA2212	GCA_002328515.1
U_68145	UBA2215	GCA_002327825.1
U_68150	UBA8908	GCA_003501665.1
U_68154	UBA2222	GCA_002328465.1
U_68158	UBA2225	GCA_002348205.1
U_68164	UBA153	GCA_002503705.1
U_68168	UBA2230	GCA_002348005.1
U_68172	UBA8913	GCA_003486825.1
U_68173	UBA8914	GCA_003486725.1
U_68178	UBA8918	GCA_003486795.1
U_68183	UBA2233	GCA_002347965.1
U_68196	UBA8928	None
U_68201	UBA2242	GCA_002347855.1
U_68202	UBA2243	GCA_002347845.1
U_68206	UBA8931	None
U_68210	UBA2250	GCA_002347285.1
U_68213	UBA2253	GCA_002347755.1
U_68214	UBA2254	GCA_002348065.1
U_68217	UBA2257	GCA_002347555.1
U_68219	UBA2258	GCA_002347155.1
U_68221	UBA2260	GCA_002347485.1
U_68224	UBA8934	None
U_68227	UBA155	GCA_002509505.1
U_68233	UBA2265	GCA_002347465.1
U_68236	UBA2267	GCA_002347435.1
U_68237	UBA8939	None
U_68244	UBA8944	None
